OG	UID	NAME
NP_009627.3	P38243	Uncharacterized protein YBR071W
NP_009606.1	P38232	Protein REG2
NP_009569.1	P38215	Putative uncharacterized protein YBR013C
NP_009561.2	P38213	Protein DSF2 
NP_009547.2	P38210	Chromatin structure-remodeling complex protein RSC14 
NP_009539.2	P32786	RNA polymerase I-specific transcription initiation factor RRN6
NP_009528.1	P38204	RNA polymerase I-specific transcription initiation factor RRN10
NP_009543.1	P32788	Uncharacterized protein YBL010C
NP_009601.2	P38229	GLC7-interacting protein 1
NP_009535.1	P38208	Ribonucleases P/MRP protein subunit POP8 
NP_009600.2	P38228	Mitochondrial chaperone TCM62
NP_009592.1	P35206	Mannosyl phosphorylinositol ceramide synthase regulatory protein CSG2
NP_009596.1	P38224	Factor-induced gene 1 protein
NP_009524.1	P38201	Uncharacterized protein YBL029W
NP_009578.1	A6ZKW8	ADP-ribose 1''-phosphate phosphatase 
NP_009525.1	P38202	UPF0642 protein YBL028C
NP_009522.1	P38200	Mitotic spindle-associated protein SHE1 
NP_009511.1	P38196	Uridine permease
NP_009472.1	P38180	Uncharacterized protein YBL081W
NP_009509.1	P38194	Uncharacterized protein YBL044W
NP_009443.1	P38162	Mitochondrial intermembrane space cysteine motif-containing protein MIX23 
NP_009394.1	P18411	Protein FUN14
NP_009431.1	P39564	Uncharacterized protein YAR068W
NP_009391.2	P31376	SWR1-complex protein 3
NP_009389.3	P31385	Transcriptional regulatory protein DEP1
NP_009371.1	P39732	GLC7-interacting protein 4
NP_009375.1	P39735	Single-strand annealing weakened protein 1
NP_009352.2	P39723	Gamma tubulin complex adapter SPC72
NP_009360.1	P13365	G1/S-specific cyclin CLN3
NP_009336.1	O13512	Uncharacterized membrane protein YAL064W-B
NP_009337.2	P39711	Putative uncharacterized protein YAL064W
NP_009320.1	P02381	Small ribosomal subunit protein uS3m 
NP_009324.1	P03882	Intron-encoded endonuclease I-SceI 
NP_001381971.1	Q6B0V8	Uncharacterized protein IRC16 
NP_001381970.1	Q6B0Y7	Uncharacterized protein YMR075C-A
NP_009346.1	P39718	Peroxisome assembly protein 22 
NP_009342.2	P39715	Shuttling pre-60S factor ECM1 
NP_001381964.1	P47010	Uncharacterized protein IRC9 
NP_001381965.1	P47036	Uncharacterized protein APQ13
NP_001381966.1	P0CT86	Uncharacterized protein YJR107C-A
NP_001381963.1	P39982	Hypersensitivity to hygromycin-B protein 1
NP_001335827.1	Q06594	Uncharacterized protein YPR195C
NP_001335826.1	Q12492	Uncharacterized protein YPR064W
NP_001374312.1	O13548	Mitochondrial protein YPR099C
NP_001381962.1	P38343	Protein SLM6 
NP_001335825.1	Q6Q5F3	Uncharacterized protein YPR053C
NP_001335824.1	Q6B0W2	Uncharacterized protein YPR014C
NP_001335822.1	Q02826	Uncharacterized protein YPL080C
NP_001335823.1	Q02781	Uncharacterized protein YPL062W
NP_001335820.1	Q08900	Uncharacterized membrane protein YOR376W
NP_001335818.1	Q12506	Uncharacterized protein YOR314W
NP_001335819.1	Q12484	Uncharacterized protein YOR343C
NP_001335816.1	Q08486	Uncharacterized protein YOR072W
NP_001335815.1	Q12243	Uncharacterized protein YOR029W
NP_001335821.1	Q08976	Uncharacterized protein YPL261C
NP_001335817.1	Q08630	Increased recombination centers protein 13
NP_001335813.1	Q99345	Uncharacterized protein YOL085C
NP_001335814.1	Q12169	Uncharacterized protein YOR015W
NP_001335812.1	Q08259	Uncharacterized protein YOL118C
NP_001335811.1	Q08321	Uncharacterized protein YOL160W
NP_001335809.1	Q04838	Uncharacterized protein YMR254C
NP_001335808.1	P40211	Uncharacterized protein YMR141C
NP_001335810.1	Q04897	Uncharacterized protein YMR320W
NP_001335807.1	Q03879	Uncharacterized protein YMR122C
NP_001335806.1	Q04436	Uncharacterized protein YMR103C
NP_001335803.1	Q03207	Uncharacterized protein YML122C
NP_001335805.1	Q04276	Uncharacterized protein YMR082C
NP_001335804.1	Q03675	Uncharacterized protein YMR007W
NP_001335799.1	Q05898	Uncharacterized protein YLR296W
NP_001335801.1	O13555	Uncharacterized protein JIP3
NP_001335800.1	O13544	Uncharacterized protein YLR302C
NP_001335802.1	Q7LIF2	Uncharacterized protein YLR365W
NP_001335797.1	A0A023PZG4	Uncharacterized protein YLR236C
NP_001335798.1	O13574	Uncharacterized protein YLR255C
NP_001335795.1	Q12130	Uncharacterized protein YLR112W
NP_001335796.1	Q12312	Uncharacterized protein YLR122C
NP_001335792.1	P36153	Uncharacterized protein YKR073C
NP_001335794.1	Q12528	Uncharacterized protein YLR111W
NP_001335791.1	P36127	Uncharacterized protein YKR032W
NP_001335790.1	P34245	Uncharacterized protein YKL097C
NP_001335789.1	P34249	Uncharacterized protein YKL102C
NP_001335788.1	P47162	Uncharacterized protein YJR128W
NP_001335793.1	Q07829	Regulator of rDNA transcription protein 7
NP_001335787.1	P47080	Uncharacterized protein YJL007C
NP_001335781.1	P53225	Uncharacterized protein YGR039W
NP_001335784.1	P40503	Uncharacterized protein YIL086C
NP_001335783.1	P53291	Uncharacterized protein YGR164W
NP_001335786.1	P39534	Uncharacterized protein MBB1
NP_001335785.1	P40551	Uncharacterized protein YIL012W
NP_001335779.1	P53194	Uncharacterized protein BRP1
NP_001335780.1	P53216	Uncharacterized protein YGR025W
NP_001335782.1	P53229	Uncharacterized protein YGR045C
NP_001335777.1	P53151	Uncharacterized protein YGL088W
NP_001335778.1	P53186	Uncharacterized protein YGL034C
NP_001335774.1	P43622	Uncharacterized protein YFR054C
NP_001335776.1	P53132	Uncharacterized protein YGL118C
NP_001335775.1	P53116	Uncharacterized protein YGL149W
NP_001335773.1	P43578	Uncharacterized protein YFL015C
NP_001335771.1	P40103	Uncharacterized protein YER188W
NP_001335769.1	A0A023PYF4	Uncharacterized protein YER145C-A
NP_001335772.1	P43576	Uncharacterized protein YFL019C
NP_001335763.1	Q04413	Uncharacterized protein API2
NP_001335762.1	Q05510	Uncharacterized protein YDR344C
NP_001335759.1	Q12240	Uncharacterized protein YDR215C
NP_001335761.1	Q05612	Uncharacterized protein YDR278C
NP_001335760.1	P87283	Uncharacterized protein YDR274C
NP_001335757.1	A0A023PZE8	Uncharacterized protein YDR157W
NP_001335758.1	Q03480	Uncharacterized protein YDR209C
NP_001335768.1	P40082	Uncharacterized protein YER135C
NP_001335767.1	P40001	Uncharacterized protein YEL008W
NP_001335766.1	A0A023PZF2	Uncharacterized protein YEL009C-A
NP_001335755.1	Q12111	Uncharacterized protein YDR029W
NP_001335756.1	Q03864	Uncharacterized protein YDR102C
NP_001335764.1	P39989	Uncharacterized protein YEL028W
NP_001335765.1	P39999	Uncharacterized protein YEL014C
NP_001335752.1	P25650	Uncharacterized protein YCR085W
NP_001335754.1	Q12426	Uncharacterized protein YDR010C
NP_001335751.1	P25352	Uncharacterized protein YCR025C
NP_001335750.1	P25620	Uncharacterized protein YCR022C
NP_001335748.1	P25347	Uncharacterized protein YCR001W
NP_001335746.1	P38311	Uncharacterized protein YBR209W
NP_001335747.1	P38357	Uncharacterized protein YBR292C
NP_001335743.1	P38868	Uncharacterized protein YHR180W
NP_001335749.1	P25350	Uncharacterized protein YCR006C
NP_001335744.1	P38192	Regulator of rDNA transcription protein 1
NP_001335745.1	P34215	Uncharacterized protein YBR144C
NP_001335742.1	O13536	Uncharacterized protein YHR139C-A
NP_001335741.1	P38834	Uncharacterized protein YHR130C
NP_001335738.1	P38752	Uncharacterized protein YHL005C
NP_001335740.1	P38831	Uncharacterized protein YHR125W
NP_001335736.1	P38730	Uncharacterized protein YHL041W
NP_001333725.1	P38223	Uncharacterized protein YBR032W
NP_001335739.1	P29589	Hexose transport activator protein
NP_001333724.1	P38220	Uncharacterized protein YBR027C
NP_001335737.1	P38733	Uncharacterized protein YHL037C
NP_001297596.1	P37265	Uncharacterized protein YCR041W
NP_001288277.1	A0A023PZB3	"Protein FMP49, mitochondrial "
NP_001291943.1	A0A0B7P221	Uncharacterized protein RDT1 
NP_001257690.1	Q08504	Uncharacterized protein YOR105W
NP_001257687.1	P53876	Uncharacterized protein YNL184C
NP_001333723.1	P38185	Uncharacterized protein YBL071C
NP_001257688.1	P53908	Uncharacterized membrane protein YNL143C
NP_001257685.1	O13565	Uncharacterized protein YLR358C
NP_001257689.1	P53910	Uncharacterized protein YNL140C
NP_001257686.1	I2HB70	Uncharacterized protein YMR316C-A
NP_001257683.1	P47174	Uncharacterized protein YJR146W
NP_001257684.1	P36092	Uncharacterized protein YKL044W
NP_001257682.1	Q8TGN3	Uncharacterized protein YJL077W-A
NP_001257680.1	P40524	Uncharacterized membrane protein YIL054W
NP_001257681.1	P40575	Uncharacterized protein YIR020C
NP_001257678.1	P40448	Uncharacterized protein YIL163C
NP_001257677.1	P53231	Uncharacterized protein YGR050C
NP_001257676.1	P53211	Uncharacterized protein YGR018C
NP_001257679.1	Q8TGN5	Uncharacterized protein YIL105W-A
NP_001257674.1	P43600	Secreted protein CSS2 
NP_001257673.1	P40057	Uncharacterized protein YER084W
NP_001257675.1	P53089	Uncharacterized protein YGL204C
NP_001257672.1	P39977	Uncharacterized protein YEL068C
NP_001257670.1	P0C5L6	Uncharacterized protein YDL022C-A
NP_001257669.1	Q8TGU7	Uncharacterized protein YBR126W-A
NP_001257667.1	P38864	Uncharacterized protein YHR173C
NP_001257668.1	I2HB52	Uncharacterized protein YBR056W-A
NP_001257671.1	Q12210	Uncharacterized protein YDL009C
NP_001106172.4	P0C5N3	"Uncharacterized protein YGL041W-A, mitochondrial"
NP_001035220.1	Q03937	Meiosis-specific protein HED1 
NP_001091638.1	A5Z2X5	UPF0495 protein YPR010C-A
NP_001032582.1	Q2V2P1	Coiled-coil domain-containing protein YLR146W-A
NP_001032581.1	Q2V2P3	Uncharacterized protein YKL023C-A
NP_001032579.1	Q2V2P5	Uncharacterized protein YIL102C-A
NP_001032580.1	Q2V2P2	Uncharacterized protein YKL065W-A
NP_001032578.1	Q2V2P6	Uncharacterized protein YGL194C-A
NP_001032576.1	Q2V2P8	Inner kinetochore subunit WIP1 
NP_001032575.1	Q2V2P9	"Cytochrome c oxidase subunit 26, mitochondrial"
NP_001032572.1	Q2V2P0	Uncharacterized protein YPR145C-A
NP_001027023.1	Q8TGN9	Protein NAG1 
NP_001032574.1	Q2V2Q0	Putative uncharacterized protein YDL007C-A
NP_001032577.1	Q2V2P7	Uncharacterized protein YDR461C-A
NP_001018031.2	Q2V2Q1	Antisense of depressing factor protein 1
NP_001018032.1	Q3E787	Putative uncharacterized protein YCR095W-A
NP_001032571.3	Q2V2Q3	Putative uncharacterized protein YBR201C-A
NP_001018029.1	Q3E762	Uncharacterized protein YBR230W-A
NP_001018033.3	Q3E744	Uncharacterized protein YGR161W-C
PT_v1_tr_10882	O93484	Collagen alpha-2
PT_v1_tr_10835	Q8BG95	Protein phosphatase 1 regulatory subunit 12B 
PT_v1_tr_10847	Q9ULH0	Kinase D-interacting substrate of 220 kDa 
PT_v1_tr_10754	F1R6I3	Leucine-rich repeat-containing protein 39 
PT_v1_tr_10529	P15102	"Glutamine synthetase leaf isozyme, chloroplastic "
PT_v1_tr_10527	P02469	Laminin subunit beta-1 
PT_v1_tr_10489	Q58854	Adenine deaminase 
PT_v1_tr_10375	Q26473	Semaphorin-1A 
PT_v1_tr_10464	Q6NYM1	Kelch-like protein 21
PT_v1_tr_10279	Q9Z1E3	NF-kappa-B inhibitor alpha 
PT_v1_tr_10271	Q5ZHQ2	Galectin-related protein 
PT_v1_tr_10231	C0HLJ4	Collagen alpha-2
PT_v1_tr_10220	Q86MA7	Protein PRQFV-amide [Cleaved into: AREFV-amide; PRQFV-amide 
PT_v1_tr_10240	P58059	Small ribosomal subunit protein bS21m 
PT_v1_tr_10184	Q495T6	Membrane metallo-endopeptidase-like 1 
PT_v1_tr_10060	P02459	Collagen alpha-1
PT_v1_tr_09600	Q8VI94	2'-5'-oligoadenylate synthase-like protein 1 
PT_v1_tr_09500	Q29S17	snRNA-activating protein complex subunit 5 
PT_v1_tr_09453	A4QP81	Putative ferric-chelate reductase 1 
PT_v1_tr_09407	Q8IID4	Dynein heavy chain-like protein 2
PT_v1_tr_09358	Q15542	Transcription initiation factor TFIID subunit 5 
PT_v1_tr_09355	Q3UQ28	Peroxidasin homolog 
PT_v1_tr_09216	Q9FJA6	Small ribosomal subunit protein uS3x 
PT_v1_tr_09185	P20481	Buccalin [Cleaved into: Buccalin-D; Buccalin-E; Buccalin-F; Buccalin-G; Buccalin-H; Buccalin-A; Buccalin-I; Buccalin-J; Buccalin-K; Buccalin-L; Buccalin-B 
PT_v1_tr_09150	Q28668	Collagen alpha-2
PT_v1_tr_09105	P15771	Nucleolin 
PT_v1_tr_08918	P42981	N-acetyl-alpha-D-glucosaminyl L-malate deacetylase 1 
PT_v1_tr_08807	Q4H4B6	Protein scribble homolog 
PT_v1_tr_08726	F1PZQ5	Coiled-coil domain-containing protein 66
PT_v1_tr_08560	Q6P9Q6	FK506-binding protein 15 
PT_v1_tr_08470	P72151	B-type flagellin
PT_v1_tr_08389	P19483	"ATP synthase subunit alpha, mitochondrial "
PT_v1_tr_08359	Q8N393	Zinc finger protein 786
PT_v1_tr_08309	Q9H5H4	Zinc finger protein 768
PT_v1_tr_08301	Q6DT37	Serine/threonine-protein kinase MRCK gamma 
PT_v1_tr_08205	Q60673	Receptor-type tyrosine-protein phosphatase-like N 
PT_v1_tr_07990	P53995	Anaphase-promoting complex subunit 1 
PT_v1_tr_08048	Q6DCW1	Zinc finger protein Gfi-1b 
PT_v1_tr_07947	Q9PW73	Cytoskeletal protein Sojo 
PT_v1_tr_07901	Q6ZMW2	Zinc finger protein 782
PT_v1_tr_07738	P07290	"Myosin, essential light chain, adductor muscle "
PT_v1_tr_07734	Q08DY9	Caspase-3 
PT_v1_tr_07570	Q50KB1	Protein disulfide-isomerase-like protein EhSep2
PT_v1_tr_07545	Q8NFD2	Ankyrin repeat and protein kinase domain-containing protein 1 
PT_v1_tr_07620	Q55EQ3	Uncharacterized abhydrolase domain-containing protein DDB_G0269086 
PT_v1_tr_07425	Q8HYV8	Ankyrin repeat and SOCS box protein 17 
PT_v1_tr_07437	Q9NPH5	NADPH oxidase 4 
PT_v1_tr_07396	C0HLH2	Collagen alpha-2
PT_v1_tr_07315	Q60902	Epidermal growth factor receptor substrate 15-like 1 
PT_v1_tr_07342	P37397	Calponin-3 
PT_v1_tr_07234	P16375	"Steroid receptor seven-up, isoforms B/C "
PT_v1_tr_07089	Q13398	Zinc finger protein 211 
PT_v1_tr_07047	P68509	14-3-3 protein eta 
PT_v1_tr_07027	B0WIW5	DDRGK domain-containing protein 1
PT_v1_tr_07032	Q6ZNH5	Zinc finger protein 497
PT_v1_tr_07009	Q9ULJ7	Ankyrin repeat domain-containing protein 50
PT_v1_tr_06999	Q19165	FMRFamide-like neuropeptides 6 [Cleaved into: QQDSEVEREMM; KSAYMRF-amide 1 
PT_v1_tr_06931	O43920	NADH dehydrogenase [ubiquinone] iron-sulfur protein 5 
PT_v1_tr_06898	P49165	Large ribosomal subunit protein uL4 
PT_v1_tr_06902	P23971	2-succinylbenzoate--CoA ligase 
PT_v1_tr_06816	Q5A846	Beta-mannosyltransferase 3 
PT_v1_tr_06512	O88843	Death domain-containing protein CRADD 
PT_v1_tr_06588	Q95107	Actin nucleation-promoting factor WASL 
PT_v1_tr_06487	Q9Z0E0	Neurochondrin 
PT_v1_tr_06397	Q9UGM1	Neuronal acetylcholine receptor subunit alpha-9 
PT_v1_tr_06373	Q9XWD6	Cell death abnormality protein 1
PT_v1_tr_06350	Q9H1D0	Transient receptor potential cation channel subfamily V member 6 
PT_v1_tr_06301	C0HLJ6	Collagen alpha-2
PT_v1_tr_06268	P82003	Prothoracicostatic peptide 
PT_v1_tr_06252	Q5DRB5	Protocadherin gamma-A5 
PT_v1_tr_06243	Q91145	Collagen alpha-1
PT_v1_tr_06198	Q9Y4P9	Sperm flagellar protein 1
PT_v1_tr_06064	P46299	Small ribosomal subunit protein eS4 
PT_v1_tr_06015	Q8IDX6	Reticulocyte-binding protein homolog 2a 
PT_v1_tr_05982	Q9ERK0	Receptor-interacting serine/threonine-protein kinase 4 
PT_v1_tr_05777	P83371	Otolin-1
PT_v1_tr_05771	Q17134	T-box transcription factor T homolog 1 
PT_v1_tr_05759	Q5R4P8	Zinc finger protein 574
PT_v1_tr_05735	Q965M2	Leucine-rich repeats and immunoglobulin-like domains protein sma-10
PT_v1_tr_05742	Q9UGM3	Deleted in malignant brain tumors 1 protein 
PT_v1_tr_05312	Q9H0M5	Zinc finger protein 700
PT_v1_tr_05253	O96790	Serine protease inhibitor dipetalogastin 
PT_v1_tr_05239	Q8N126	Cell adhesion molecule 3 
PT_v1_tr_05191	P17031	Zinc finger protein 26 
PT_v1_tr_05150	A2AM05	Centlein 
PT_v1_tr_05185	A8EVZ6	Large ribosomal subunit protein uL10 
PT_v1_tr_05116	I6R1R5	Omega-scoloptoxin
PT_v1_tr_04962	P35346	Somatostatin receptor type 5 
PT_v1_tr_04894	Q8N883	Zinc finger protein 614
PT_v1_tr_04731	Q9Y4C8	Probable RNA-binding protein 19 
PT_v1_tr_04600	Q8SX83	Protein split ends
PT_v1_tr_04444	Q8IXT5	RNA-binding protein 12B 
PT_v1_tr_04424	Q6PBR7	Large ribosomal subunit protein mL63 
PT_v1_tr_04582	Q9H0W7	THAP domain-containing protein 2
PT_v1_tr_04311	A4IHD2	Helicase ARIP4 
PT_v1_tr_04412	Q15424	Scaffold attachment factor B1 
PT_v1_tr_04251	P00529	Tyrosine-protein kinase transforming protein ros 
PT_v1_tr_04078	P08021	FMRF-amide neuropeptides [Cleaved into: FLRF-amide; FMRF-amide]
PT_v1_tr_04045	P16356	DNA-directed RNA polymerase II subunit RPB1 
PT_v1_tr_03895	Q12830	Nucleosome-remodeling factor subunit BPTF 
PT_v1_tr_03952	P53569	CCAAT/enhancer-binding protein zeta 
PT_v1_tr_03869	Q8T784	UPF0184 protein
PT_v1_tr_03787	P05434	Caltractin 
PT_v1_tr_03684	Q948R0	Calmodulin-like protein 5 
PT_v1_tr_03497	Q3EC97	F-box/LRR-repeat protein 14
PT_v1_tr_03637	Q54KM9	Ras-related protein Rab-11B
PT_v1_tr_03482	Q9J569	Putative ankyrin repeat protein FPV162
PT_v1_tr_03464	P08021	FMRF-amide neuropeptides [Cleaved into: FLRF-amide; FMRF-amide]
PT_v1_tr_03450	Q6DDV0	Myoneurin
PT_v1_tr_03259	P85977	Zinc finger protein
PT_v1_tr_03116	Q68FQ0	T-complex protein 1 subunit epsilon 
PT_v1_tr_02915	Q921N6	Probable ATP-dependent RNA helicase DDX27 
PT_v1_tr_02922	Q6CQ83	Ribosome-associated molecular chaperone SSB1 
PT_v1_tr_02896	O75179	Ankyrin repeat domain-containing protein 17 
PT_v1_tr_02881	Q86T29	Zinc finger protein 605
PT_v1_tr_02714	Q1LUE5	Zinc finger CCCH domain-containing protein 18
PT_v1_tr_02712	Q7XUW4	Potassium channel KOR2 
PT_v1_tr_02615	Q03938	Zinc finger protein 90 
PT_v1_tr_02581	Q9W4Y2	PDF receptor 
PT_v1_tr_02574	Q91VN0	Low-density lipoprotein receptor-related protein 5 
PT_v1_tr_02356	Q06684	Thrombin inhibitor rhodniin
PT_v1_tr_02502	Q34949	NADH-ubiquinone oxidoreductase chain 4 
PT_v1_tr_02321	P43141	Beta-4C adrenergic receptor 
PT_v1_tr_02113	B3A0R6	EGF-like domain-containing protein 1 
PT_v1_tr_02209	Q03938	Zinc finger protein 90 
PT_v1_tr_02102	Q8IDX6	Reticulocyte-binding protein homolog 2a 
PT_v1_tr_02095	P32736	Opioid-binding protein/cell adhesion molecule 
PT_v1_tr_02084	Q01713	Krueppel-like factor 9 
PT_v1_tr_02083	Q6PIF6	Unconventional myosin-VIIb
PT_v1_tr_02068	Q96N38	Zinc finger protein 714
PT_v1_tr_02045	O88492	Perilipin-4 
PT_v1_tr_01977	Q95KD7	Coiled-coil domain-containing protein 191
PT_v1_tr_01957	Q3V037	Uncharacterized protein C6orf163 homolog
PT_v1_tr_01942	Q3U962	Collagen alpha-2
PT_v1_tr_01891	P85154	Collagen alpha-2
PT_v1_tr_01855	Q9NPB1	5'
PT_v1_tr_01831	Q9BV29	Coiled-coil domain-containing protein 32
PT_v1_tr_01807	Q86MA7	Protein PRQFV-amide [Cleaved into: AREFV-amide; PRQFV-amide 
PT_v1_tr_01796	A8I1Q0	Calmodulin 
PT_v1_tr_01697	Q07157	Tight junction protein ZO-1 
PT_v1_tr_01701	Q96SE7	Zinc finger protein 347 
PT_v1_tr_01634	P02512	Alpha-crystallin B chain 
PT_v1_tr_01580	P34586	Transient-receptor-potential-like protein 
PT_v1_tr_01367	P43139	DNA polymerase beta 
PT_v1_tr_01570	Q24266	Transcription factor btd 
PT_v1_tr_01253	P37705	Glycine-rich protein A3
PT_v1_tr_00990	P0C5Q0	Putative uncharacterized protein YLR154W-F
PT_v1_tr_01156	Q3UZZ4	Olfactomedin-4 
PT_v1_tr_01084	Q09666	Neuroblast differentiation-associated protein AHNAK 
PT_v1_tr_00978	Q99J23	GH3 domain-containing protein
PT_v1_tr_00929	Q8IDX6	Reticulocyte-binding protein homolog 2a 
PT_v1_tr_00930	Q6P698	Plastin-2 
PT_v1_tr_00918	B3EWY6	Skeletal aspartic acid-rich protein 1
PT_v1_tr_00842	Q14315	Filamin-C 
PT_v1_tr_00736	Q9UFH2	Dynein axonemal heavy chain 17 
PT_v1_tr_00351	Q62036	Centrosomal protein of 131 kDa 
PT_v1_tr_00321	Q8WWC4	"m-AAA protease-interacting protein 1, mitochondrial "
PT_v1_tr_00267	P12812	Major egg antigen 
PT_v1_tr_00207	Q9Y493	Zonadhesin
PT_v1_tr_00253	Q24JY7	Interferon alpha-inducible protein 27-like protein 2 
PT_v1_tr_00149	Q6ZQY2	Leucine-rich repeat-containing protein 74B
Nk52_evm23s2657	Q8C170	Unconventional myosin-IXa 
Nk52_evm8s2635	Q6AXZ2	Leucine-rich repeat-containing protein 46
Nk52_evm8s2612	A7M9B2	Protein TIC 214 
Nk52_evm1s2603	A1A5Q5	Lysine-specific demethylase 4D 
Nk52_evm8s2578	Q8IID4	Dynein heavy chain-like protein 2
Nk52_evm10s2579	P07383	Tropinesterase 
Nk52_evm14s2568	Q5M7Y0	Ceramide transfer protein 
Nk52_evm25s2531	P51839	Guanylate cyclase 2D 
Nk52_evm35s2531	B0BLW3	Leucine-rich repeat-containing G-protein coupled receptor 4
Nk52_evm33s2506	Q5R0N7	Protein translocase subunit SecA 
Nk52_evm13s2506	B8NM62	Pyridoxamine 5'-phosphate oxidase family protein ustO 
Nk52_evm1s2513	Q10424	Transcription factor zip1
Nk52_evm3s2506	Q5M9F8	N-terminal kinase-like protein 
Nk52_evm18s2496	P55607	Uncharacterized protein y4oV
Nk52_evm6s2462	Q53TS8	Cation channel sperm-associated targeting subunit tau 
Nk52_evm2s2449	Q8IYT8	Serine/threonine-protein kinase ULK2 
Nk52_evm1s2442	P14708	Involucrin
Nk52_evm1s2420	Q6NEC9	UPF0371 protein DIP2346
Nk52_evm29s2402	Q8C0P0	Serine/threonine-protein kinase greatwall 
Nk52_evm1s2395	P0DKS6	Arsenate-mycothiol transferase ArsC1 
Nk52_evm6s2391	B5FLM6	Ureidoglycolate lyase 
Nk52_evm1s2386	P10125	UvrABC system protein B 
Nk52_evm75s2367	P0C6U3	Replicase polyprotein 1a 
Nk52_evm9s2367	B2CQK0	Spore development regulator RYP2
Nk52_evm1s2363	Q8FXT2	Translation initiation factor IF-2
Nk52_evm27s2309	Q9Y2M2	Protein SSUH2 homolog 
Nk52_evm1s2344	A0JT07	Chaperonin GroEL 1 
Nk52_evm1s2322	P0AC97	Low-affinity gluconate transporter 
Nk52_evm15s2309	P0C6U4	Replicase polyprotein 1a 
Nk52_evm14s2309	P0C6U3	Replicase polyprotein 1a 
Nk52_evm2s2290	Q57709	Probable inosine/xanthosine triphosphatase 
Nk52_evm19s2273	P06797	Procathepsin L 
Nk52_evm4s2256	Q5UQQ1	Uncharacterized protein L451
Nk52_evm7s2256	Q5UQR6	Uncharacterized protein R325
Nk52_evm1s2259	O35167	Acetylcholinesterase collagenic tail peptide 
Nk52_evm32s2192	O04567	Probable inactive receptor kinase At1g27190
Nk52_evm20s2192	Q8T9W1	Serine protease/ABC transporter B family protein tagD 
Nk52_evm1s2185	Q5EBG2	"Tryptophan 2,3-dioxygenase "
Nk52_evm8s2171	Q9UI17	"Dimethylglycine dehydrogenase, mitochondrial "
Nk52_evm1s2156	A0QWX9	Transaldolase 
Nk52_evm26s2152	Q96HN2	Adenosylhomocysteinase 3 
Nk52_evm1s2139	Q9UKF7	Cytoplasmic phosphatidylinositol transfer protein 1 
Nk52_evm73s2118	F0NBH8	Protein-lysine N-methyltransferase 
Nk52_evm12s2133	C6KSQ6	Probable DNA repair protein RAD50
Nk52_evm69s2118	Q5R579	ADP-ribosylation factor-related protein 1 
Nk52_evm24s2118	Q8BLD6	Ankyrin repeat domain-containing protein 55
Nk52_evm52s2118	Q9Z1N3	Unconventional myosin-IXa 
Nk52_evm1s2096	P9WJY7	Probable nitrate/nitrite transporter NarK2
Nk52_evm1s2079	O86422	UDP-glucose 6-dehydrogenase 
Nk52_evm16s2085	O86509	Putative agmatine deiminase 
Nk52_evm29s2039	Q8R5M3	Leucine-rich repeat-containing protein 15 
Nk52_evm1s2035	A0QZZ6	Universal stress protein MSMEG_4207 
Nk52_evm1s2032	A0JMY4	Basal body-orientation factor 1 
Nk52_evm1s2028	Q52664	Glutamate/glutamine/aspartate/asparagine transport system permease protein BztB
Nk52_evm1s2020	Q3ZC22	Heat shock factor-binding protein 1
Nk52_evm15s1967	O35600	Retinal-specific phospholipid-transporting ATPase ABCA4 
Nk52_evm1s1963	B2FPW9	Beta-hexosaminidase 
Nk52_evm1s1947	C5C0I5	Small ribosomal subunit protein uS3 
Nk52_evm1s1914	Q9W704	RPA-interacting protein A 
Nk52_evm1s1928	C5BV40	UvrABC system protein C 
Nk52_evm1s1913	O34897	Uncharacterized MscS family protein YkuT
Nk52_evm13s1892	Q9WVQ0	Polyamine-modulated factor 1-binding protein 1 
Nk52_evm1s1841	A5CRY6	Elongation factor P 
Nk52_evm1s1811	Q82DR2	Aspartate aminotransferase 
Nk52_evm25s1810	A8K8P3	Protein SFI1 homolog 
Nk52_evm19s1810	Q5E9C0	Ras suppressor protein 1 
Nk52_evm1s1796	Q4A054	Uncharacterized oxidoreductase SSP0419 
Nk52_evm9s1762	Q94AG2	Somatic embryogenesis receptor kinase 1 
Nk52_evm1s1760	Q82PP4	Alpha-L-rhamnosidase 
Nk52_evm1s1738	Q8L7W8	Alpha-L-fucosidase 2 
Nk52_evm29s1737	Q8IID4	Dynein heavy chain-like protein 2
Nk52_evm1s1709	A0A0H2URD6	Fructooligosaccharide ABC transporter substrate-binding protein FusA 
Nk52_evm75s1737	Q8IID4	Dynein heavy chain-like protein 2
Nk52_evm36s1705	Q6ZQR2	Cilia- and flagella-associated protein 77
Nk52_evm14s1705	G5ECQ3	Serine/threonine-protein kinase sel-5 
Nk52_evm1s1702	Q82FD8	Chromosomal replication initiator protein DnaA
Nk52_evm1s1681	P0ACS2	Redox-sensitive transcriptional activator SoxR
Nk52_evm1s1586	P0A5W9	Ribonucleoside-diphosphate reductase subunit alpha 
Nk52_evm1s1549	P9WGU9	Trehalose-binding lipoprotein LpqY 
Nk52_evm37s1524	Q0PV50	Toll-like receptor 3 
Nk52_evm1s1496	Q6AEK8	Glutamate racemase 
Nk52_evm32s1485	C7LYP4	Proteasome-associated ATPase 
Nk52_evm92s1444	P54164	Uncharacterized protein YpeP
Nk52_evm87s1444	Q8ILR9	Protein PF3D7_1417600
